,event_id,load_id,trip_id,event_type,facility_id,scheduled_datetime,actual_datetime,detention_minutes,on_time_flag,location_city,location_state
113371,EVT00113372,LOAD00056686,TRIP00056686,Delivery,FAC00005,2026-01-02 07:38:25.865118,2026-01-02 09:41:54.393564,109.0,False,Denver,CO
113373,EVT00113374,LOAD00056687,TRIP00056687,Delivery,FAC00045,2026-01-01 22:05:22.429478,2026-01-01 19:56:49.144812,78.0,False,Houston,TX
113377,EVT00113378,LOAD00056689,TRIP00056689,Delivery,FAC00022,2026-01-01 01:25:34.140157,2026-01-01 01:43:03.601870,26.0,True,Columbus,OH
113379,EVT00113380,LOAD00056690,TRIP00056690,Delivery,FAC00048,2026-01-01 22:19:41.518761,2026-01-02 00:24:14.865751,101.0,False,Los Angeles,CA
113381,EVT00113382,LOAD00056691,TRIP00056691,Delivery,FAC00041,2026-01-01 21:25:49.121670,2026-01-02 03:08:33.390456,150.0,False,Portland,OR
113383,EVT00113384,LOAD00056692,TRIP00056692,Delivery,FAC00023,2026-01-01 14:55:26.276641,2026-01-01 12:01:27.816468,156.0,False,New York,NY
113385,EVT00113386,LOAD00056693,TRIP00056693,Delivery,FAC00046,2026-01-01 09:08:37.869831,2026-01-01 10:57:11.060434,0.0,True,Miami,FL
113389,EVT00113390,LOAD00056695,TRIP00056695,Delivery,FAC00027,2026-01-01 14:55:41.375418,2026-01-01 13:55:47.435133,5.0,True,Portland,OR
113391,EVT00113392,LOAD00056696,TRIP00056696,Delivery,FAC00002,2026-01-01 18:16:07.893830,2026-01-01 18:21:32.798879,122.0,True,Denver,CO
113393,EVT00113394,LOAD00056697,TRIP00056697,Delivery,FAC00026,2026-01-02 08:51:39.187649,2026-01-02 11:11:19.577094,187.0,False,Seattle,WA
113395,EVT00113396,LOAD00056698,TRIP00056698,Delivery,FAC00031,2026-01-01 01:53:56.255824,2026-01-01 02:00:22.699049,119.0,True,Memphis,TN
113397,EVT00113398,LOAD00056699,TRIP00056699,Delivery,FAC00015,2026-01-02 02:40:17.324268,2026-01-02 08:13:33.982910,5.0,False,Indianapolis,IN
113399,EVT00113400,LOAD00056700,TRIP00056700,Delivery,FAC00048,2026-01-01 17:24:46.470663,2026-01-01 19:19:23.423096,113.0,True,Denver,CO
113403,EVT00113404,LOAD00056702,TRIP00056702,Delivery,FAC00004,2026-01-02 16:17:50.054690,2026-01-02 20:01:06.787256,114.0,False,Seattle,WA
113407,EVT00113408,LOAD00056704,TRIP00056704,Delivery,FAC00037,2026-01-02 14:18:13.475245,2026-01-02 19:25:27.386839,157.0,False,Seattle,WA
113411,EVT00113412,LOAD00056706,TRIP00056706,Delivery,FAC00023,2026-01-02 04:03:13.977995,2026-01-02 04:27:00.882469,142.0,True,Los Angeles,CA
113415,EVT00113416,LOAD00056708,TRIP00056708,Delivery,FAC00009,2026-01-02 13:14:58.643689,2026-01-02 15:52:10.012058,106.0,False,Charlotte,NC
113417,EVT00113418,LOAD00056709,TRIP00056709,Delivery,FAC00013,2026-01-02 00:40:58.780248,2026-01-02 03:55:03.514818,146.0,False,Portland,OR
113419,EVT00113420,LOAD00056710,TRIP00056710,Delivery,FAC00021,2026-01-01 10:55:37.079321,2026-01-01 09:30:01.517785,108.0,True,Dallas,TX
113421,EVT00113422,LOAD00056711,TRIP00056711,Delivery,FAC00014,2026-01-01 03:37:27.392788,2026-01-01 08:53:12.362354,58.0,False,Dallas,TX
113423,EVT00113424,LOAD00056712,TRIP00056712,Delivery,FAC00049,2026-01-01 21:47:33.071744,2026-01-01 19:53:28.919696,5.0,True,Los Angeles,CA
113425,EVT00113426,LOAD00056713,TRIP00056713,Delivery,FAC00046,2026-01-01 09:31:54.045792,2026-01-01 07:57:20.446201,0.0,True,Denver,CO
113427,EVT00113428,LOAD00056714,TRIP00056714,Delivery,FAC00050,2026-01-02 15:01:47.659778,2026-01-02 14:03:57.010016,177.0,True,Portland,OR
113429,EVT00113430,LOAD00056715,TRIP00056715,Delivery,FAC00003,2026-01-01 11:22:47.049052,2026-01-01 14:57:24.613633,104.0,False,Philadelphia,PA
113433,EVT00113434,LOAD00056717,TRIP00056717,Delivery,FAC00038,2026-01-01 19:56:33.480757,2026-01-01 20:04:41.384833,0.0,True,Dallas,TX
113435,EVT00113436,LOAD00056718,TRIP00056718,Delivery,FAC00016,2026-01-01 04:10:20.326542,2026-01-01 07:55:51.111995,25.0,False,Houston,TX
113437,EVT00113438,LOAD00056719,TRIP00056719,Delivery,FAC00037,2026-01-01 02:40:58.936829,2026-01-01 05:43:08.471803,89.0,False,Charlotte,NC
113443,EVT00113444,LOAD00056722,TRIP00056722,Delivery,FAC00011,2026-01-01 16:03:44.379506,2026-01-01 14:49:37.373302,2.0,True,Las Vegas,NV
113445,EVT00113446,LOAD00056723,TRIP00056723,Delivery,FAC00035,2026-01-02 12:54:10.513413,2026-01-02 16:17:54.531847,79.0,False,Columbus,OH
113449,EVT00113450,LOAD00056725,TRIP00056725,Delivery,FAC00038,2026-01-02 15:49:38.054526,2026-01-02 21:30:15.121473,110.0,False,Seattle,WA
113453,EVT00113454,LOAD00056727,TRIP00056727,Delivery,FAC00017,2026-01-02 02:27:57.518601,2026-01-02 06:26:23.570013,111.0,False,Portland,OR
113459,EVT00113460,LOAD00056730,TRIP00056730,Delivery,FAC00050,2026-01-01 19:42:23.324112,2026-01-01 23:27:30.983764,167.0,False,New York,NY
113461,EVT00113462,LOAD00056731,TRIP00056731,Delivery,FAC00017,2026-01-01 05:26:14.059660,2026-01-01 04:05:58.869826,0.0,True,Atlanta,GA
113463,EVT00113464,LOAD00056732,TRIP00056732,Delivery,FAC00002,2026-01-01 07:51:54.538169,2026-01-01 09:47:54.237773,176.0,True,Detroit,MI
113465,EVT00113466,LOAD00056733,TRIP00056733,Delivery,FAC00021,2026-01-01 05:32:54.635389,2026-01-01 03:01:20.232109,177.0,False,Denver,CO
113467,EVT00113468,LOAD00056734,TRIP00056734,Delivery,FAC00024,2026-01-01 05:32:10.096654,2026-01-01 10:54:46.121494,152.0,False,Dallas,TX
113469,EVT00113470,LOAD00056735,TRIP00056735,Delivery,FAC00015,2026-01-02 06:17:22.803089,2026-01-02 11:15:02.654217,0.0,False,Los Angeles,CA
113471,EVT00113472,LOAD00056736,TRIP00056736,Delivery,FAC00042,2026-01-01 15:37:42.629728,2026-01-01 15:49:39.980169,0.0,True,Los Angeles,CA
113473,EVT00113474,LOAD00056737,TRIP00056737,Delivery,FAC00046,2026-01-02 02:28:40.417842,2026-01-02 01:24:27.884265,221.0,True,Columbus,OH
113477,EVT00113478,LOAD00056739,TRIP00056739,Delivery,FAC00022,2026-01-01 12:42:34.864666,2026-01-01 15:58:59.225418,226.0,False,Atlanta,GA
113479,EVT00113480,LOAD00056740,TRIP00056740,Delivery,FAC00009,2026-01-02 04:45:15.742899,2026-01-02 07:58:54.056358,76.0,False,Los Angeles,CA
113481,EVT00113482,LOAD00056741,TRIP00056741,Delivery,FAC00040,2026-01-02 11:26:25.929762,2026-01-02 13:46:38.984646,130.0,False,Philadelphia,PA
113483,EVT00113484,LOAD00056742,TRIP00056742,Delivery,FAC00019,2026-01-02 09:59:01.541357,2026-01-02 09:22:42.743807,0.0,True,New York,NY
113485,EVT00113486,LOAD00056743,TRIP00056743,Delivery,FAC00047,2026-01-02 04:11:07.482966,2026-01-02 01:59:55.519582,45.0,False,Columbus,OH
113491,EVT00113492,LOAD00056746,TRIP00056746,Delivery,FAC00020,2026-01-01 08:31:59.437660,2026-01-01 07:45:21.333844,153.0,True,Minneapolis,MN
113493,EVT00113494,LOAD00056747,TRIP00056747,Delivery,FAC00032,2026-01-01 16:55:43.297668,2026-01-01 22:19:50.285280,221.0,False,Kansas City,MO
113495,EVT00113496,LOAD00056748,TRIP00056748,Delivery,FAC00030,2026-01-01 07:25:02.148020,2026-01-01 06:09:35.361138,154.0,True,Indianapolis,IN
113499,EVT00113500,LOAD00056750,TRIP00056750,Delivery,FAC00033,2026-01-02 12:58:45.012463,2026-01-02 16:56:50.705817,184.0,False,Seattle,WA
113501,EVT00113502,LOAD00056751,TRIP00056751,Delivery,FAC00018,2026-01-02 10:09:44.794001,2026-01-02 09:14:44.714559,181.0,True,Portland,OR
113503,EVT00113504,LOAD00056752,TRIP00056752,Delivery,FAC00001,2026-01-02 07:59:24.999967,2026-01-02 07:56:05.566181,84.0,True,Los Angeles,CA
113508,EVT00113509,LOAD00056755,TRIP00056755,Pickup,FAC00021,2026-01-01 18:00:00.000000,2026-01-01 21:14:57.790881,25.0,False,Dallas,TX
113509,EVT00113510,LOAD00056755,TRIP00056755,Delivery,FAC00026,2026-01-03 03:26:57.790881,2026-01-03 03:56:16.488651,13.0,True,New York,NY
113510,EVT00113511,LOAD00056756,TRIP00056756,Pickup,FAC00037,2026-01-01 14:00:00.000000,2026-01-01 17:18:08.552687,155.0,False,Seattle,WA
113511,EVT00113512,LOAD00056756,TRIP00056756,Delivery,FAC00044,2026-01-03 02:18:08.552687,2026-01-03 05:57:49.268737,0.0,False,Indianapolis,IN
113512,EVT00113513,LOAD00056757,TRIP00056757,Pickup,FAC00039,2026-01-01 13:00:00.000000,2026-01-01 15:56:31.923308,86.0,False,Columbus,OH
113513,EVT00113514,LOAD00056757,TRIP00056757,Delivery,FAC00024,2026-01-03 09:08:31.923308,2026-01-03 14:53:36.998407,198.0,False,Portland,OR
113514,EVT00113515,LOAD00056758,TRIP00056758,Pickup,FAC00036,2026-01-01 13:00:00.000000,2026-01-01 13:18:05.069960,0.0,True,Chicago,IL
113515,EVT00113516,LOAD00056758,TRIP00056758,Delivery,FAC00050,2026-01-02 01:24:05.069960,2026-01-02 01:50:52.560952,198.0,True,Charlotte,NC
113516,EVT00113517,LOAD00056759,TRIP00056759,Pickup,FAC00008,2026-01-01 08:00:00.000000,2026-01-01 09:46:28.822408,102.0,True,Minneapolis,MN
113517,EVT00113518,LOAD00056759,TRIP00056759,Delivery,FAC00038,2026-01-02 08:52:28.822408,2026-01-02 08:43:52.173633,231.0,True,Houston,TX
113518,EVT00113519,LOAD00056760,TRIP00056760,Pickup,FAC00019,2026-01-01 14:00:00.000000,2026-01-01 13:03:55.921244,93.0,True,Atlanta,GA
113519,EVT00113520,LOAD00056760,TRIP00056760,Delivery,FAC00016,2026-01-02 00:51:55.921244,2026-01-02 05:41:55.802818,106.0,False,Chicago,IL
113520,EVT00113521,LOAD00056761,TRIP00056761,Pickup,FAC00017,2026-01-01 09:00:00.000000,2026-01-01 10:13:24.278202,65.0,True,Charlotte,NC
113521,EVT00113522,LOAD00056761,TRIP00056761,Delivery,FAC00025,2026-01-01 20:49:24.278202,2026-01-02 01:25:38.127763,178.0,False,Memphis,TN
113522,EVT00113523,LOAD00056762,TRIP00056762,Pickup,FAC00004,2026-01-01 09:00:00.000000,2026-01-01 11:55:14.033372,0.0,False,Detroit,MI
113523,EVT00113524,LOAD00056762,TRIP00056762,Delivery,FAC00031,2026-01-02 10:25:14.033372,2026-01-02 11:36:49.904325,0.0,True,Houston,TX
113524,EVT00113525,LOAD00056763,TRIP00056763,Pickup,FAC00016,2026-01-01 15:00:00.000000,2026-01-01 17:30:52.860166,144.0,False,Las Vegas,NV
113525,EVT00113526,LOAD00056763,TRIP00056763,Delivery,FAC00028,2026-01-03 14:06:52.860166,2026-01-03 14:08:43.769027,124.0,True,New York,NY
113526,EVT00113527,LOAD00056764,TRIP00056764,Pickup,FAC00040,2026-01-01 12:00:00.000000,2026-01-01 11:48:33.492622,73.0,True,Minneapolis,MN
113527,EVT00113528,LOAD00056764,TRIP00056764,Delivery,FAC00009,2026-01-02 07:48:33.492622,2026-01-02 13:38:45.547486,178.0,False,Atlanta,GA
113528,EVT00113529,LOAD00056765,TRIP00056765,Pickup,FAC00032,2026-01-01 08:00:00.000000,2026-01-01 11:01:49.092834,58.0,False,Denver,CO
113529,EVT00113530,LOAD00056765,TRIP00056765,Delivery,FAC00048,2026-01-01 21:43:49.092834,2026-01-02 03:40:07.869840,126.0,False,Kansas City,MO
113530,EVT00113531,LOAD00056766,TRIP00056766,Pickup,FAC00010,2026-01-01 09:00:00.000000,2026-01-01 09:00:12.411441,75.0,True,Seattle,WA
113531,EVT00113532,LOAD00056766,TRIP00056766,Delivery,FAC00030,2026-01-02 18:48:12.411441,2026-01-02 22:49:40.731379,135.0,False,Indianapolis,IN
113532,EVT00113533,LOAD00056767,TRIP00056767,Pickup,FAC00028,2026-01-01 12:00:00.000000,2026-01-01 14:49:05.809624,51.0,False,New York,NY
113533,EVT00113534,LOAD00056767,TRIP00056767,Delivery,FAC00039,2026-01-01 16:25:05.809624,2026-01-01 16:53:06.704598,224.0,True,Philadelphia,PA
113534,EVT00113535,LOAD00056768,TRIP00056768,Pickup,FAC00033,2026-01-01 13:00:00.000000,2026-01-01 14:31:57.964386,105.0,True,Miami,FL
113535,EVT00113536,LOAD00056768,TRIP00056768,Delivery,FAC00020,2026-01-04 06:01:57.964386,2026-01-04 05:44:47.329017,162.0,True,Seattle,WA
113536,EVT00113537,LOAD00056769,TRIP00056769,Pickup,FAC00040,2026-01-01 08:00:00.000000,2026-01-01 08:25:05.952832,148.0,True,Kansas City,MO
113537,EVT00113538,LOAD00056769,TRIP00056769,Delivery,FAC00036,2026-01-02 11:19:05.952832,2026-01-02 15:44:37.404880,0.0,False,Los Angeles,CA
113538,EVT00113539,LOAD00056770,TRIP00056770,Pickup,FAC00017,2026-01-01 15:00:00.000000,2026-01-01 18:23:16.960235,48.0,False,Charlotte,NC
113539,EVT00113540,LOAD00056770,TRIP00056770,Delivery,FAC00008,2026-01-03 21:35:16.960235,2026-01-03 19:00:46.124995,62.0,False,Seattle,WA
113540,EVT00113541,LOAD00056771,TRIP00056771,Pickup,FAC00033,2026-01-01 11:00:00.000000,2026-01-01 09:42:17.219921,9.0,True,Kansas City,MO
113541,EVT00113542,LOAD00056771,TRIP00056771,Delivery,FAC00008,2026-01-02 00:30:17.219921,2026-01-02 04:06:18.883226,151.0,False,Charlotte,NC
113542,EVT00113543,LOAD00056772,TRIP00056772,Pickup,FAC00020,2026-01-01 07:00:00.000000,2026-01-01 07:34:21.568055,33.0,True,Seattle,WA
113543,EVT00113544,LOAD00056772,TRIP00056772,Delivery,FAC00030,2026-01-03 02:52:21.568055,2026-01-03 02:01:11.413098,119.0,True,Houston,TX
113544,EVT00113545,LOAD00056773,TRIP00056773,Pickup,FAC00016,2026-01-01 09:00:00.000000,2026-01-01 11:41:49.923891,58.0,False,Columbus,OH
113545,EVT00113546,LOAD00056773,TRIP00056773,Delivery,FAC00030,2026-01-03 08:59:49.923891,2026-01-03 08:59:46.640573,149.0,True,Los Angeles,CA
113546,EVT00113547,LOAD00056774,TRIP00056774,Pickup,FAC00012,2026-01-01 11:00:00.000000,2026-01-01 14:08:49.668559,24.0,False,Kansas City,MO
113547,EVT00113548,LOAD00056774,TRIP00056774,Delivery,FAC00003,2026-01-02 05:56:49.668559,2026-01-02 04:23:57.135017,125.0,True,Charlotte,NC
113548,EVT00113549,LOAD00056775,TRIP00056775,Pickup,FAC00006,2026-01-01 10:00:00.000000,2026-01-01 10:51:44.069671,40.0,True,Charlotte,NC
113549,EVT00113550,LOAD00056775,TRIP00056775,Delivery,FAC00049,2026-01-03 10:27:44.069671,2026-01-03 13:53:43.818311,0.0,False,Portland,OR
113550,EVT00113551,LOAD00056776,TRIP00056776,Pickup,FAC00002,2026-01-01 09:00:00.000000,2026-01-01 10:04:21.987906,85.0,True,Dallas,TX
113551,EVT00113552,LOAD00056776,TRIP00056776,Delivery,FAC00033,2026-01-02 00:04:21.987906,2026-01-02 04:25:35.174904,187.0,False,Denver,CO
113552,EVT00113553,LOAD00056777,TRIP00056777,Pickup,FAC00031,2026-01-01 18:00:00.000000,2026-01-01 16:29:54.226544,82.0,True,Philadelphia,PA
113553,EVT00113554,LOAD00056777,TRIP00056777,Delivery,FAC00037,2026-01-03 20:11:54.226544,2026-01-03 17:49:52.301535,34.0,False,Seattle,WA
113554,EVT00113555,LOAD00056778,TRIP00056778,Pickup,FAC00029,2026-01-01 15:00:00.000000,2026-01-01 14:51:03.214406,0.0,True,Seattle,WA
113555,EVT00113556,LOAD00056778,TRIP00056778,Delivery,FAC00022,2026-01-03 10:51:03.214406,2026-01-03 09:56:45.571966,21.0,True,Charlotte,NC
113556,EVT00113557,LOAD00056779,TRIP00056779,Pickup,FAC00035,2026-01-01 12:00:00.000000,2026-01-01 10:32:13.092168,0.0,True,Minneapolis,MN
113557,EVT00113558,LOAD00056779,TRIP00056779,Delivery,FAC00048,2026-01-02 11:08:13.092168,2026-01-02 13:58:27.279290,21.0,False,Houston,TX
113558,EVT00113559,LOAD00056780,TRIP00056780,Pickup,FAC00007,2026-01-01 08:00:00.000000,2026-01-01 07:49:56.581190,12.0,True,Miami,FL
113559,EVT00113560,LOAD00056780,TRIP00056780,Delivery,FAC00019,2026-01-02 03:37:56.581190,2026-01-02 02:23:12.881024,226.0,True,Philadelphia,PA
113560,EVT00113561,LOAD00056781,TRIP00056781,Pickup,FAC00045,2026-01-01 06:00:00.000000,2026-01-01 05:40:32.415776,69.0,True,Minneapolis,MN
113561,EVT00113562,LOAD00056781,TRIP00056781,Delivery,FAC00027,2026-01-02 15:34:32.415776,2026-01-02 21:07:19.462205,94.0,False,Los Angeles,CA
113562,EVT00113563,LOAD00056782,TRIP00056782,Pickup,FAC00026,2026-01-01 15:00:00.000000,2026-01-01 18:13:44.485487,11.0,False,Las Vegas,NV
113563,EVT00113564,LOAD00056782,TRIP00056782,Delivery,FAC00008,2026-01-03 13:31:44.485487,2026-01-03 18:06:45.258820,0.0,False,New York,NY
113564,EVT00113565,LOAD00056783,TRIP00056783,Pickup,FAC00025,2026-01-01 09:00:00.000000,2026-01-01 08:37:58.133341,170.0,True,Portland,OR
113565,EVT00113566,LOAD00056783,TRIP00056783,Delivery,FAC00020,2026-01-02 22:55:58.133341,2026-01-03 01:49:20.923191,60.0,False,Detroit,MI
113566,EVT00113567,LOAD00056784,TRIP00056784,Pickup,FAC00033,2026-01-01 08:00:00.000000,2026-01-01 09:37:18.533517,44.0,True,Kansas City,MO
113567,EVT00113568,LOAD00056784,TRIP00056784,Delivery,FAC00050,2026-01-02 14:55:18.533517,2026-01-02 17:11:44.824954,0.0,False,Portland,OR
113568,EVT00113569,LOAD00056785,TRIP00056785,Pickup,FAC00033,2026-01-01 14:00:00.000000,2026-01-01 17:27:05.935040,169.0,False,Houston,TX
113569,EVT00113570,LOAD00056785,TRIP00056785,Delivery,FAC00050,2026-01-02 16:39:05.935040,2026-01-02 16:43:25.761887,121.0,True,Detroit,MI
113570,EVT00113571,LOAD00056786,TRIP00056786,Pickup,FAC00042,2026-01-01 08:00:00.000000,2026-01-01 06:48:21.271080,117.0,True,Kansas City,MO
113571,EVT00113572,LOAD00056786,TRIP00056786,Delivery,FAC00028,2026-01-02 09:24:21.271080,2026-01-02 11:12:49.215535,186.0,True,Miami,FL
113572,EVT00113573,LOAD00056787,TRIP00056787,Pickup,FAC00007,2026-01-01 14:00:00.000000,2026-01-01 15:51:08.742416,77.0,True,Houston,TX
113573,EVT00113574,LOAD00056787,TRIP00056787,Delivery,FAC00026,2026-01-02 12:27:08.742416,2026-01-02 11:40:28.136779,5.0,True,Detroit,MI
113574,EVT00113575,LOAD00056788,TRIP00056788,Pickup,FAC00004,2026-01-01 14:00:00.000000,2026-01-01 17:04:15.958005,178.0,False,Seattle,WA
113575,EVT00113576,LOAD00056788,TRIP00056788,Delivery,FAC00014,2026-01-03 12:40:15.958005,2026-01-03 15:03:23.659534,172.0,False,Indianapolis,IN
113576,EVT00113577,LOAD00056789,TRIP00056789,Pickup,FAC00045,2026-01-01 16:00:00.000000,2026-01-01 18:23:13.228014,32.0,False,Miami,FL
113577,EVT00113578,LOAD00056789,TRIP00056789,Delivery,FAC00039,2026-01-02 15:59:13.228014,2026-01-02 13:17:56.152154,181.0,False,Dallas,TX
113578,EVT00113579,LOAD00056790,TRIP00056790,Pickup,FAC00021,2026-01-01 08:00:00.000000,2026-01-01 07:18:54.720806,81.0,True,Memphis,TN
113579,EVT00113580,LOAD00056790,TRIP00056790,Delivery,FAC00028,2026-01-02 18:12:54.720806,2026-01-02 18:22:44.381230,37.0,True,Los Angeles,CA
113580,EVT00113581,LOAD00056791,TRIP00056791,Pickup,FAC00032,2026-01-01 14:00:00.000000,2026-01-01 13:28:25.043615,103.0,True,Memphis,TN
113581,EVT00113582,LOAD00056791,TRIP00056791,Delivery,FAC00015,2026-01-02 05:22:25.043615,2026-01-02 07:18:45.082503,209.0,True,Minneapolis,MN
113582,EVT00113583,LOAD00056792,TRIP00056792,Pickup,FAC00026,2026-01-01 14:00:00.000000,2026-01-01 14:34:28.027987,74.0,True,Seattle,WA
113583,EVT00113584,LOAD00056792,TRIP00056792,Delivery,FAC00010,2026-01-03 08:40:28.027987,2026-01-03 09:07:39.435266,0.0,True,Indianapolis,IN
113584,EVT00113585,LOAD00056793,TRIP00056793,Pickup,FAC00046,2026-01-01 18:00:00.000000,2026-01-01 21:22:58.345628,9.0,False,Atlanta,GA
113585,EVT00113586,LOAD00056793,TRIP00056793,Delivery,FAC00012,2026-01-02 10:16:58.345628,2026-01-02 12:15:46.197217,232.0,True,Miami,FL
113586,EVT00113587,LOAD00056794,TRIP00056794,Pickup,FAC00010,2026-01-01 07:00:00.000000,2026-01-01 06:43:11.954957,9.0,True,Las Vegas,NV
113587,EVT00113588,LOAD00056794,TRIP00056794,Delivery,FAC00024,2026-01-02 05:37:11.954957,2026-01-02 10:24:00.865169,82.0,False,Kansas City,MO
113588,EVT00113589,LOAD00056795,TRIP00056795,Pickup,FAC00008,2026-01-01 15:00:00.000000,2026-01-01 14:13:24.765442,89.0,True,New York,NY
113589,EVT00113590,LOAD00056795,TRIP00056795,Delivery,FAC00017,2026-01-01 15:55:24.765442,2026-01-01 16:36:48.108244,77.0,True,Philadelphia,PA
113590,EVT00113591,LOAD00056796,TRIP00056796,Pickup,FAC00016,2026-01-01 18:00:00.000000,2026-01-01 21:18:06.083316,145.0,False,Kansas City,MO
113591,EVT00113592,LOAD00056796,TRIP00056796,Delivery,FAC00021,2026-01-02 05:30:06.083316,2026-01-02 04:07:19.337257,0.0,True,Indianapolis,IN
113592,EVT00113593,LOAD00056797,TRIP00056797,Pickup,FAC00031,2026-01-01 15:00:00.000000,2026-01-01 18:34:12.793402,121.0,False,Columbus,OH
113593,EVT00113594,LOAD00056797,TRIP00056797,Delivery,FAC00038,2026-01-02 05:52:12.793402,2026-01-02 04:35:56.710923,229.0,True,Kansas City,MO
113594,EVT00113595,LOAD00056798,TRIP00056798,Pickup,FAC00012,2026-01-01 07:00:00.000000,2026-01-01 09:10:28.553483,91.0,False,Minneapolis,MN
